index,pe_ratio,pb_ratio,market_cap,return_on_asset_net_profit,du_return_on_equity,ev,earnings_per_share,revenue,total_expense,date,return
24,000723.XSHE,83.1601,5.1914,2447173888.0,3.7628,6.7973,2643902662.49,0.23,1211363701.77,1164178657.88,2012-01-31,0.042778608589422264
25,000725.XSHE,7.8303,0.9565,24473991637.0,-3.8791,-8.9859,59972852071.9,-0.16,8514636554.0,10928202542.0,2012-01-31,0.07731582786287378
26,000728.XSHE,89.0694,1.2107,17853669000.0,1.9189,3.093,27584467396.7,0.2311,1315052595.51,759062567.21,2012-01-31,0.07700600919052664
27,000738.XSHE,48.6018,3.7755,9352957791.0,3.2868,5.6005,12090522078.9,0.1412,1350949551.65,1208450823.91,2012-01-31,0.1542375123375765
28,000750.XSHE,-25.6794,3.0579,7848747888.0,1.0709,1.2462,20293252211.3,0.05,846043430.3,770218550.33,2012-01-31,0.19820142453543432
29,000768.XSHE,-147.1629,2.0306,19102438172.0,0.1931,0.3771,32166350682.9,0.0142,5081888777.39,5059579936.33,2012-01-31,0.1465590484282072
30,000776.XSHE,728.4289,2.3480000000000003,73103249580.0,1.7866,6.13,136014621813.0,0.61,4325459005.79,2377388304.37,2012-01-31,0.07489705895839265
31,000783.XSHE,-45.0677,1.6385,18614185636.0,1.0097,3.1584,38751827912.8,0.14,1337998541.45,967274968.36,2012-01-31,0.12992671244734258
32,000792.XSHE,19.2172,3.7855,51771074558.0,10.514000000000001,19.4208,80915739549.4,1.8385,5539622881.41,2862752126.27,2012-01-31,0.15145999313841346
33,000826.XSHE,23.0132,5.7688,9086509777.0,5.8911,13.970999999999998,12253603099.7,0.462,1024996030.27,798413138.46,2012-01-31,0.08771129113758985
34,000839.XSHE,333.106,1.8536,10756003511.0,0.89,1.5777,18870505927.6,0.0583,1180163422.97,1267800326.91,2012-01-31,0.12829722318773407
35,000858.XSHE,15.3332,5.2524,121432975373.0,16.1359,24.1627,146746453414.0,1.2690000000000001,15648774490.2,9035308334.24,2012-01-31,0.1015933571894008
36,000876.XSHE,7.676,3.0819,29540383370.0,7.4287,14.0505,20968360549.5,1.03,50764868718.2,49120061669.7,2012-01-31,0.06176845044971034
37,000895.XSHE,-1338.4485,10.6955,39377548602.0,4.5209,7.8543,42437138787.3,0.4592,24239106613.4,23337169830.8,2012-01-31,0.062017805916695874
38,000938.XSHE,42.6661,2.8149,2254515200.0,1.6298,4.2112,3529790114.27,0.162,3644404043.75,3629839989.02,2012-01-31,0.1014640474425501
39,000959.XSHE,-26.1079,1.1222,8513929784.0,0.0867,2.0863,21615136271.8,0.0549,9502575535.22,9992265480.22,2012-01-31,0.08711129724636166
40,000961.XSHE,8.7321,1.8054,9809849498.0,2.4954,13.1395,31471593062.6,0.55,7903065272.29,7025337345.32,2012-01-31,0.1964263632991221
41,000963.XSHE,22.4888,6.5556,10022445192.0,7.7243,22.5682,14715366599.7,0.6757,8194944377.07,7738330113.27,2012-01-31,0.08012232979301576
42,000983.XSHE,16.8509,3.6087,50324664000.0,8.237,18.4178,85342188907.5,0.7948,22884339585.8,19205385113.0,2012-01-31,0.0776470137238366
43,002007.XSHE,103.2077,5.627999999999999,13321854976.0,11.9395,13.7822,12957134001.1,0.535,738447615.67,363505122.7,2012-01-31,0.06531210999934314
44,002008.XSHE,9.4767,2.6381,7404771894.0,5.7164,11.6348,11923045459.0,0.2756,2673513831.05,2362243445.18,2012-01-31,0.16502264030126082
45,002024.XSHE,10.8124,2.7260000000000004,60867043234.0,7.0214,17.3106,105525576525.0,0.4892,67625499000.0,63105122000.0,2012-01-31,0.034480285024270016
46,002027.XSHE,-10.2187,2.016,1218410517.0,0.1718,0.257,1805997930.82,0.0056,947381266.9,941843709.87,2012-01-31,0.09178151381773576
47,002044.XSHE,20.4515,5.1103,1935277500.0,6.5053,9.2073,2585540321.99,0.139,579326555.55,536804411.89,2012-01-31,0.11009951302138482
48,002065.XSHE,18.7782,4.3444,9850608640.0,9.892999999999999,14.5688,11373623438.7,0.5093,1606056451.02,1335501978.86,2012-01-31,0.11099090669863453
49,002074.XSHE,34.6532,3.6556,1578482640.0,5.7557,10.5459,2441487011.21,0.18,493069178.84,440614415.3,2012-01-31,0.11717714761670385
50,002081.XSHE,17.0643,5.9058,18377040393.0,9.7896,31.9623,21684655943.0,0.9086,6432177806.42,5839048120.1,2012-01-31,0.139324831207802
51,002142.XSHE,6.6771,1.4932,27944220926.0,1.0298,15.1654,240797776509.0,0.89,5706374000.0,2764872000.0,2012-01-31,0.03405619746902688
52,002146.XSHE,7.3613,2.4509,15039897600.0,3.9236,18.5606,33968718457.5,0.51,6101082478.69,4839724494.1,2012-01-31,0.19950759589290207
53,002153.XSHE,23.5333,6.7642,7397241600.0,15.0778,17.1945,8854453139.38,0.52,459764525.26,302985073.79,2012-01-31,0.11158221038069367
54,002174.XSHE,-135.1836,3.952,902386340.0,0.1001,0.77,1344172473.18,0.021,226840813.26,228325157.3,2012-01-31,0.16452606174928575
55,002230.XSHE,45.8019,6.3889,7516943625.0,6.4937,7.8906,7670455233.62,0.28,342597396.99,285178588.37,2012-01-31,0.31656126844468896
56,002236.XSHE,23.7544,7.819,11774402076.0,11.0706,16.345,12402992370.4,0.73,1460699765.06,1234300793.67,2012-01-31,0.10240671551263997
57,002241.XSHE,21.875,8.175,17053408060.0,8.8802,19.7717,20333004124.0,0.47,2753719950.56,2332580270.48,2012-01-31,0.1467561303706585
58,002252.XSHE,29.9917,7.0569,6454560000.0,15.0026,16.5791,6584240682.17,0.51,381696427.88,218311705.2,2012-01-31,0.06362922230950507
59,002292.XSHE,75.7295,7.325,10104832000.0,5.7157,6.7608,7207363453.14,0.22,727006274.15,623049692.79,2012-01-31,0.09363440005958447
60,002294.XSHE,19.4133,4.1442,8836656000.0,12.5764,14.765999999999998,11936854986.3,0.79,1077149060.94,746256481.74,2012-01-31,0.13235003881425728
61,002304.XSHE,19.6996,11.6265,114993000000.0,22.9515,37.134,127056431081.0,3.24,9697320356.4,5655841725.15,2012-01-31,0.16850501935668302
62,002310.XSHE,17.5595,6.0159,11263785183.0,13.5919,22.8921,14699468220.1,2.29,1965187858.05,1566421577.31,2012-01-31,0.2306324150615437
63,002352.XSHE,26.5542,2.1836,1569068525.0,3.2224,4.3585,2073680968.64,0.4,470163824.47,438363251.57,2012-01-31,0.08977645112098892
64,002385.XSHE,16.6065,3.3233,11563080000.0,7.7024,9.8108,14559606885.4,0.78,5279408885.11,4905932347.5,2012-01-31,0.17157582281371295
65,002411.XSHE,27.4205,3.0469,2356830000.0,5.2652,5.4527,3020826515.22,0.17,770044002.13,712509134.65,2012-01-31,0.21476753135044588
66,002415.XSHE,19.359,5.4305,36980000000.0,12.7014,14.6805,40368127810.4,0.87,3453156822.06,2470651269.54,2012-01-31,0.11356624917600534
67,002424.XSHE,25.5245,3.4475,6599712000.0,4.5786,6.8463,8407405957.77,0.27,701417429.65,554485320.02,2012-01-31,0.12688254714847808
68,002426.XSHE,1512.7409,2.2273,2886956100.0,3.7132,5.2927,4088639981.93,0.1697,1115660255.45,1062257040.89,2012-01-31,0.14153668399768915
69,002450.XSHE,35.4532,6.6061,6787200000.0,7.5141,11.0486,7508019924.18,0.3207,1098832203.2,969665965.32,2012-01-31,0.1619329045715278
70,002456.XSHE,-263.2222,2.8871,2808960000.0,-1.4387,-2.6004,4688450853.06,-0.13,648674946.38,677435315.07,2012-01-31,0.5242354899105472
71,002460.XSHE,49.731,4.5287,3279000000.0,5.1303,5.8898,4023862473.74,0.28,327739393.91,282919396.3,2012-01-31,0.08829619033278123
72,002465.XSHE,31.4086,1.655,7075738533.0,2.5843,2.9048,8694467710.3,0.3679,658569640.25,549797985.66,2012-01-31,0.15225456190619813
73,002466.XSHE,97.1092,4.1013,4036620000.0,2.9892,3.3418,5192804839.01,0.22,298312158.14,267370981.94,2012-01-31,0.126367785906334
74,002468.XSHE,-29.5372,2.2865,1735680000.0,3.0888,4.7192,2985511165.06,0.19399999999999998,813493135.78,777625233.64,2012-01-31,0.1946935798624116
75,002470.XSHE,17.198,3.1169,9618000000.0,8.6549,13.7957,13161820051.0,0.57,6334742941.75,5843040739.55,2012-01-31,0.06985058208818411
76,002475.XSHE,20.348,4.4072,8110377000.0,10.4286,11.1446,10445640552.3,0.73,1805745307.42,1506388762.01,2012-01-31,0.11219353791199868
77,002500.XSHE,-299.473,2.6293,15694692000.0,0.8005,2.2936,28146131862.0,0.06,764146400.0,593553103.0,2012-01-31,0.09173205556984823
78,002508.XSHE,17.1347,2.7193,4106240000.0,7.013999999999999,8.7418,4245859793.34,0.48,1066937023.89,928033582.34,2012-01-31,0.02867975889558632
79,002555.XSHE,44.4557,1.8685,1429780000.0,6.0338,7.8995,1915721333.26,0.2783,253102516.76,224929800.23,2012-01-31,0.09088986411463024
80,002558.XSHE,27.0092,2.2569,1331610000.0,6.2979,7.4814,1511286005.1,0.48,232718969.01,204381787.74,2012-01-31,0.1045629106528585
81,002572.XSHE,18.3723,2.3778,3242100000.0,9.0828,10.6158,4293748635.4,0.8,629835600.6,531961977.68,2012-01-31,0.1920963172804533
82,002601.XSHE,15.5863,4.3066,8685600000.0,16.0068,27.3354,8390870389.73,4.32,1510362207.38,1126040681.21,2012-01-31,0.049572435656780614
83,002602.XSHE,19.6278,1.5786,2436000000.0,9.5175,12.6759,3363782564.41,0.88,745992572.11,605838766.87,2012-01-31,0.1092073225719181
84,002608.XSHE,21.584,1.617,3198720000.0,3.6252,10.8872,6726447058.26,1.43,1953159642.57,1756742374.55,2012-01-31,0.08272847047550601
85,002624.XSHE,25.5598,3.0336,1475000000.0,12.3847,23.1718,197559732.15,0.66,332677250.53,285246943.45,2012-01-31,0.07322489313273754
86,300003.XSHE,20.9579,4.796,11229960000.0,15.6951,16.8851,13490161497.1,0.4467,678769523.57,268496848.15,2012-01-31,0.05638972305638978
87,300015.XSHE,40.59,6.6348,9073728000.0,8.1282,10.3255,9332816274.92,0.31,966750963.5,777018084.74,2012-01-31,0.029664695572409017
88,300017.XSHE,25.9591,2.3706,1847487146.0,4.5921,4.8207,1922528782.12,0.23,382167189.86,346917794.45,2012-01-31,0.1711732096390993
89,300024.XSHE,26.6647,4.7491,5637680400.0,5.7208,7.3934,6614052715.55,0.27,546261214.18,459245055.06,2012-01-31,0.008442293833007293
90,300027.XSHE,32.433,4.9322,8322048000.0,5.1512,6.5198,9548149074.81,0.17,481297343.95,379519891.28,2012-01-31,0.0915833408401646
91,300033.XSHE,62.4488,1.7983,2010624000.0,4.0142,4.5664,2717977058.33,0.37,167909628.35,118080013.56,2012-01-31,0.2179192555394784
92,300059.XSHE,25.5474,2.1984,3738000000.0,4.8088,5.0589,4223969468.4,0.4,198275042.38,115710250.2,2012-01-31,0.29160031847133777
93,300070.XSHE,21.4611,3.3669,10989132000.0,2.5622,2.7239999999999998,12240238304.7,0.25,368083629.66,275351643.46,2012-01-31,0.16540056076110135
94,300072.XSHE,22.5444,2.6189,2990079800.0,3.6867,5.5583,3763745417.33,0.31,409472534.65,340213144.32,2012-01-31,0.1340454340303897
95,300122.XSHE,61.6859,3.7147,8388000000.0,5.6875,5.9543,11197163180.7,0.32,456652112.14,309831451.78,2012-01-31,0.14450333725952091
96,300124.XSHE,22.6099,4.1521,10396080000.0,10.2343,10.9358,15352248689.5,1.19,789887920.75,498177781.4,2012-01-31,0.09703376716456807
97,300136.XSHE,19.499000000000002,2.9683,2002766800.0,8.8253,9.145,2949590988.74,0.4149,121334857.44,56642914.4,2012-01-31,0.12049127343244985
98,300144.XSHE,26.941,2.8002,7573104000.0,6.309,7.3163,7692714479.5,0.52,387976059.28,152151856.75,2012-01-31,0.112750724162431
99,300251.XSHE,22.2623,2.9725,5315600000.0,8.8568,10.3649,6925068439.68,1.14,413759118.43,290804273.67,2012-01-31,0.16700232378001545
100,600000.XSHG,4.859,1.1557,171985006446.0,0.8475,15.1658,2524302191530.0,1.067,49307426000.0,23080440000.0,2012-01-31,0.034713242753983416
101,600008.XSHG,20.3951,2.1303,11484000000.0,1.974,5.1517,21623828218.2,0.1198,1855861893.47,1577820959.16,2012-01-31,0.05744971019434018
102,600009.XSHG,14.2654,1.5681,24086980600.0,6.7723,7.8001,25731183764.9,0.59,3384957900.85,2369447956.52,2012-01-31,0.049597916685769884
103,600010.XSHG,45.0759,2.4265,31283144619.0,1.433,4.9606,69625822816.3,0.1,33102712983.0,32254908227.2,2012-01-31,0.0801326815642459
104,600015.XSHG,6.5503,1.2765,81580233992.0,0.6168,13.5616,1082458341030.0,1.09,24577242161.2,15882745794.2,2012-01-31,-0.028533716370977014
105,600018.XSHG,15.9744,1.4207,64397158410.0,6.2652,9.2333,95519826083.9,0.1672,16140750027.0,10697692371.3,2012-01-31,0.06360166402195817
106,600019.XSHG,48.0499,0.8370000000000001,89136324768.0,2.96,6.0051,210235683181.0,0.36,167324609438.0,159509674906.0,2012-01-31,0.03536836265285848
107,600021.XSHG,14.2623,1.7775,10463324967.0,1.1597,3.3939999999999997,31728430807.7,0.0906,13327770690.8,13273973338.4,2012-01-31,0.01635848039560354
108,600030.XSHG,8.5084,1.5964,117770750796.0,2.4444,4.8999,162413250454.0,0.34,9449919982.79,4933372613.41,2012-01-31,0.10383427689140512
109,600031.XSHG,9.2367,5.4879,107906564207.0,19.1926,51.047,142748578029.0,1.01,41303142489.2,31889071190.2,2012-01-31,0.02604226771605079
110,600038.XSHG,57.3664,3.8096,5734950000.0,2.0366,4.5376,9951536918.85,0.1944,1340760389.39,1263564009.21,2012-01-31,0.031174084151200137
111,600048.XSHG,7.6711,1.7715,62457450920.0,2.052,11.1958,218727868096.0,0.58,21814023615.9,16895904145.0,2012-01-31,0.05713940565353955
112,600050.XSHG,65.0568,1.4564,103439390408.0,0.9452,1.9779,329040873116.0,0.0663,160635019142.0,155696114578.0,2012-01-31,0.0020515058926233736
113,600061.XSHG,200.6983,4.2544,2488681052.0,1.8281,3.7621,4620362296.53,0.051,2352659615.47,2326250356.85,2012-01-31,0.17587199101691342
114,600066.XSHG,8.5946,3.8526,12841325558.0,9.7833,27.2874,14837663589.4,1.41,11232502616.2,10379107317.9,2012-01-31,0.11589602299952086
115,600068.XSHG,16.0828,2.4909,27725298867.0,2.5103,12.1459,77693163625.4,0.369,35074608672.6,33424373668.5,2012-01-31,0.06288541517280946
116,600074.XSHG,7.7722,5.7681,2188707048.0,-1.0165,-7.5689,5932804514.11,-0.042,1483101015.54,1501724300.22,2012-01-31,0.09968069428524644
117,600085.XSHG,33.4211,5.1493,17903403306.0,7.7728,10.370999999999999,19371947312.4,0.265,4780178712.95,4148756853.24,2012-01-31,0.08436262835876891
118,600089.XSHG,25.2302,1.6633,21374390302.0,3.798,8.3659,43772144523.7,0.3872,12717958690.6,11723206190.2,2012-01-31,0.07769442174849597
119,600100.XSHG,21.2945,2.3333,19916765102.0,1.392,2.8793,30394394479.5,0.1165,13816198314.4,13649396367.7,2012-01-31,0.07684013877768894
120,600104.XSHG,6.9167,1.6254,166375800432.0,8.294,16.2283,287572669567.0,1.4380000000000002,326050006500.0,303962407442.0,2012-01-31,0.045064805583250364
121,600109.XSHG,409.5809,3.1558,10232476929.0,2.3623,7.5052,17162970494.4,0.235,933904853.38,636255608.14,2012-01-31,0.08504900480991771
122,600111.XSHG,9.0854,10.009,56385184320.0,44.4699,81.17399999999999,71565608899.2,2.5839999999999996,10090210627.2,3030566769.62,2012-01-31,0.18707169345690225
123,600118.XSHG,48.4743,6.1424,12388184969.0,3.7693,8.0043,16766444701.7,0.21,2199386774.76,2023977759.04,2012-01-31,0.07569990395218941
124,600153.XSHG,5.7046,1.9417,15664255187.0,3.7507,22.287,58644592309.9,0.67,57151916342.1,55376769626.7,2012-01-31,0.06428632735387525
125,600157.XSHG,17.4764,3.1546,8957528567.0,2.6639999999999997,11.9343,15812892893.0,0.3769,1001544733.63,782708578.35,2012-01-31,0.14893918464208536
126,600170.XSHG,6.5729999999999995,1.0293,10719470984.0,1.6636,9.2416,60584579246.9,0.77,59021986646.2,58079160281.8,2012-01-31,0.07872708904603838
127,600177.XSHG,25.3912,1.7941,21664931792.0,2.9443,9.3741,53994958175.5,0.556,8031467770.26,7486149536.05,2012-01-31,0.023633082475810162
128,600196.XSHG,11.1987,1.6819,16434906101.0,6.5683,11.672,25968946961.1,0.56,4632511537.23,4680608399.23,2012-01-31,0.07067871708373201
129,600208.XSHG,16.7341,2.1465,20992219157.0,1.8395,6.6286,48018656800.2,0.094,4020357021.45,3962653793.33,2012-01-31,0.16272448532632494
130,600219.XSHG,10.9548,0.893,13829204639.0,4.9412,5.2158,18569173675.6,0.4,9846832544.4,8790863767.3,2012-01-31,0.10071803582458322
131,600221.XSHG,8.5125,1.3223,19142277753.0,3.1037,17.1759,83888671116.5,0.55,19364906000.0,16937682000.0,2012-01-31,0.09915865384615392
132,600233.XSHG,15.8458,1.63,1522950000.0,7.186,7.5242,2323375048.45,0.3937,625222346.76,518707464.67,2012-01-31,0.1809391002194587
133,600271.XSHG,16.6451,3.707,17747748000.0,14.3266,17.0158,26656174507.6,0.81,8277492415.43,7143232101.7,2012-01-31,0.17794251771474018
134,600276.XSHG,28.4028,6.9192,29227893396.0,16.553,18.1488,33142205392.0,0.5975,3319215604.1,2485369711.99,2012-01-31,0.02999688849130726
135,600297.XSHG,-676.2344,2.4877,2005500000.0,0.2762,0.6269,3853962529.37,0.0144,677118452.68,681222793.64,2012-01-31,0.12567615033368462
136,600309.XSHG,13.5742,4.0673,29559115622.0,13.969000000000001,23.4568,41428325676.0,0.71,10509011428.0,8192119490.58,2012-01-31,0.08558941623518518
137,600340.XSHG,4.7829,3.9458,10994600298.0,5.2507,58.4206,31696989438.8,1.97,5297572500.36,3842487062.14,2012-01-31,0.1785937662879182
138,600352.XSHG,11.0766,1.3411,9045442129.0,4.7907,10.7142,20180688902.5,0.4692,6188537909.9,5677642752.82,2012-01-31,0.10064363021825898
139,600369.XSHG,-72.6801,2.0551,20345577963.0,0.9572,1.8066,32601570764.9,0.09,698581043.09,608138808.8,2012-01-31,0.03422856721625661
140,600372.XSHG,45.157,5.8036,20213794785.0,4.1892,8.3964,27740212649.3,0.32,2607228423.59,2296031479.95,2012-01-31,0.16179237215666148
141,600373.XSHG,15.2472,2.4556,9353870347.0,7.585,11.7593,10101354598.5,0.75,3451114563.86,3149584541.19,2012-01-31,0.1619120594129435
142,600376.XSHG,5.9691,1.1951,14378773500.0,0.6819,3.1457,54071516981.2,0.25,2101925737.02,2318963571.53,2012-01-31,0.2099724105168918
143,600383.XSHG,7.0812,1.1457,23654280346.0,0.6583,2.6831,89624682029.8,0.11,6496176515.81,5725712937.71,2012-01-31,0.09639613887728396
144,600390.XSHG,-9.2689,3.4707,1870984500.0,1.9158,3.6742,3312948417.49,0.1464,944031576.62,912432398.49,2012-01-31,0.15825491873396064
145,600406.XSHG,25.5694,10.388,30449903293.0,7.7937,16.1004,39874588393.6,0.39,2833630198.4,2413068469.59,2012-01-31,0.17108900798492582
146,600415.XSHG,44.1617,2.7318,21337399570.0,3.4476,7.5729999999999995,33213054639.1,0.21,2408867159.52,1700693411.9,2012-01-31,0.10075035600832502
147,600436.XSHG,29.2461,8.0172,9230200000.0,12.8685,17.7691,8845660090.08,1.38,748436762.19,522811518.23,2012-01-31,0.061736021660839566
148,600482.XSHG,43.013999999999996,3.2779,3872400000.0,1.6273,4.3393,7375992274.18,0.11,3213977347.13,3159099518.08,2012-01-31,0.11904964763446504
149,600485.XSHG,324.9306,2.4357,1194611320.0,0.3192,0.5041,2035899210.01,0.017,182013848.38,181750305.77,2012-01-31,0.13457920044600336
150,600489.XSHG,18.1904,5.153,44207296523.0,11.0412,20.1031,51793168958.4,0.72,22077562412.7,19588278492.7,2012-01-31,0.06080092470663969
151,600498.XSHG,23.0502,3.0474,11841338066.0,3.8755,8.6064,17267180797.4,0.71,4643443858.48,4446362972.73,2012-01-31,0.049680126354078716
152,600518.XSHG,20.2795,2.8393,26252650927.0,5.6848,9.2811,36535451788.6,0.299,4272739873.2,3470976301.44,2012-01-31,0.06449831673821285
153,600519.XSHG,15.513,7.7438,193527133800.0,23.7021,31.8919,205800562683.0,6.33,13642075480.1,4362971847.48,2012-01-31,0.09683014738297198
154,600522.XSHG,24.7858,1.5276,6637995346.0,5.3726,9.4193,9147836872.69,0.878,3368058278.36,3055516734.82,2012-01-31,0.12324137173005048
155,600535.XSHG,24.7122,5.2889,19061111180.0,9.5492,15.3388,22547542205.6,1.01,4761055734.4,4237410286.63,2012-01-31,0.05391563138042006
156,600547.XSHG,19.2254,8.7533,49636765591.0,16.7003,36.2244,59607111767.7,1.1889,31433375580.3,29092486678.2,2012-01-31,0.07941714780855715
157,600549.XSHG,14.2218,6.9929,24060254400.0,10.9039,30.7985,32943795578.5,1.3281,9767492350.92,7846581310.6,2012-01-31,0.0649092141130088
158,600570.XSHG,22.3356,5.3209,6480766656.0,7.082999999999999,10.4672,8857976700.9,0.171,557557093.46,487914676.59,2012-01-31,0.18672683728203007
159,600583.XSHG,80.0064,2.352,22208702400.0,-0.5153,-1.012,30955642245.4,-0.02,4315266027.23,4411281909.18,2012-01-31,0.061315517439412014
160,600588.XSHG,18.0996,4.5411,13421610387.0,1.7437,3.5984,19871253242.7,0.111,2236905267.0,2202500934.0,2012-01-31,0.1306986046088814
161,600606.XSHG,12.9859,1.1108,2329972210.0,2.4812,6.0919,5896376095.0,0.244,460443503.41,418360901.32,2012-01-31,0.1186428503016952
162,600637.XSHG,28.4115,4.9643,12852514306.0,1.6403,2.8202,10240094448.6,0.0582,958604391.68,696579597.09,2012-01-31,0.4592757958655178
163,600649.XSHG,10.5976,1.1488,14294150987.0,3.6153,7.4505,26669798964.3,0.39,2687870142.25,2124823091.15,2012-01-31,0.057882470074446135
164,600660.XSHG,13.7907,2.7385,17065443549.0,10.3551,19.9104,23988384317.3,0.58,7101029788.0,5811567161.0,2012-01-31,0.0328738236867782
165,600663.XSHG,28.0819,2.0124,21851902800.0,4.47,9.5896,32806301986.8,0.5436,3239719786.15,2030707272.89,2012-01-31,0.031632872987714965
166,600674.XSHG,30.3615,1.7549,10905855082.0,3.6003,6.2869,17771990584.9,0.3957,884145019.53,729367357.85,2012-01-31,0.045327684185749284
167,600682.XSHG,26.8352,2.2669,2529751096.0,1.8545,4.9955,4729482908.37,0.15,1291117569.78,1209182044.01,2012-01-31,0.15439247929743902
168,600690.XSHG,7.8756,2.9661,24730024643.0,8.2353,28.3614,51294864925.2,0.8420000000000001,56997111693.0,53935280816.6,2012-01-31,0.13897415585701553
169,600703.XSHG,11.2295,2.8805,16317355669.0,9.9348,11.5071,21834129808.3,0.41,1168932704.63,828471124.08,2012-01-31,0.1530945369038651
170,600704.XSHG,9.7408,1.6125,5401857518.0,3.0476,13.0462,24607681882.9,0.6226,26189090446.9,25405061934.5,2012-01-31,0.18047935316199828
171,600739.XSHG,5.8087,1.963,18873936755.0,18.1868,23.9468,23803629081.2,1.4968,6199641829.04,5651246740.44,2012-01-31,0.05640093104451565
172,600741.XSHG,7.447,1.5406,25522017729.0,10.5662,14.9581,43056365380.4,0.887,39480242542.7,36112670431.2,2012-01-31,0.06477936992395629
173,600795.XSHG,8.7642,1.5576,42642960534.0,1.6977,8.01,165192754281.0,0.135,36896874822.4,34994940058.3,2012-01-31,-0.00358818658570247
174,600804.XSHG,45.1573,2.0755,7335048374.0,3.3668,4.3757,11234631133.0,0.11,1599996293.56,1415040308.86,2012-01-31,0.1970940654778753
175,600816.XSHG,22.7421,13.7062,6766235692.0,13.6671,26.6457,7694488846.02,0.2208,230793022.46,99589155.51,2012-01-31,0.14497147644313238
176,600820.XSHG,12.1804,1.2098,5860835563.0,1.4962,6.8388,22326242104.6,0.42,11686034963.9,11699175155.0,2012-01-31,0.040073519173466236
